Name	Platform	Programming language	Availability	Graphical support (GUI)	Parallel experiments	Energy consumption	Cost Modeling	Energy model	Communication Model	Migration algorithms	Simulation time	"Federation
Policy"	Memory space	Fog/Edge Support	Description	Website	Amount of Info
iFogSim*	CloudSim	Java	Open source	Yes										Yes	"Toolkit for Modeling and Simulation of Resource Management Techniques in Internet of Things, Edge and Fog Computing Environments."	http://www.cloudbus.org/cloudsim/	
CloudSim	SimJava	Java	Open source	Limited (Via CloudAnalyst)	No	Limited	Yes	Yes	Limited	Yes	Seconds	Yes	Small	No	Framework for modeling and simulation of cloud computing infrastructures and services.	http://www.cloudbus.org/cloudsim/	
CloudSimEx														No	Set of extensions for the CloudSim simulator (These extensions are not officially supported).	http://www.cloudbus.org/cloudsim/	
EdgeCloudSim														Yes	Simulation environment specific to Edge Computing scenarios where it is possible to conduct experiments that considers both computational and networking resources.	http://www.cloudbus.org/cloudsim/	
CloudSim Automation														No	Human Readable Scenario Specification for Automated Creation of Simulations on CloudSim.	http://www.cloudbus.org/cloudsim/	
WorkflowSim*	CloudSim	Java		No										No	"Extends the CloudSim simulation toolkit by introducing the support of workflow preparation and execution with an implementation of a stack of workflow parser, workflow engine and job scheduler."	http://www.cloudbus.org/cloudsim/	
Cloud2Sim*	"CloudSim, Hazelcast, Infinispan"	Java		No										No	Proposes a distributed concurrent architecture to CloudSim simulations.	http://www.cloudbus.org/cloudsim/	
SimpleWorkflow														No	This is a simple package containing classes helping in simulating workflows on CloudSim.	http://www.cloudbus.org/cloudsim/	
DynamicCloudSim														No	"Extends the CloudSim simulation toolkit by introducing models for (1) heterogeneity in the performance of computational resources, (2) uncertainty in and dynamic changes to the performance of virtual machines, and (3) straggler machines and failures during task execution."	http://www.cloudbus.org/cloudsim/	
RealCloudSim														No	Simulator of allocations of virtual machines based on the main engine of the CloudSim project.	http://www.cloudbus.org/cloudsim/	
